source,fund_name,stem,removed_tail,stranded_number,failure
Oregon,Advent Latin American Private Equity Fund VI C,ADVENT LATIN AMERICAN PRIVATE EQUITY FUND VI,C,VI,CONSUMED+STRANDED
Oregon,AEP IV OPERS Co-Investments,AEP IV OPERS CO-INVESTMENTS,,IV,STRANDED
Oregon,Apax VIII USD,APAX VIII USD,,VIII,STRANDED
Oregon,Bridgepoint Europe VI (Sidecar),BRIDGEPOINT EUROPE VI (SIDECAR),,VI,STRANDED
Oregon,Centerbridge Special Credit Partners III - Flex,CENTERBRIDGE SPECIAL CREDIT PARTNERS III - FLEX,,III,STRANDED
Oregon,Genstar IX Opportunities Fund I,GENSTAR IX OPPORTUNITIES FUND,I,IX,CONSUMED+STRANDED
Oregon,Genstar VIII Opportunities Fund,GENSTAR VIII OPPORTUNITIES,FUND,VIII,STRANDED
Oregon,GGV Capital VI Plus,GGV CAPITAL VI PLUS,,VI,STRANDED
Oregon,GGV Capital VII Plus,GGV CAPITAL VII PLUS,,VII,STRANDED
Oregon,GGV Capital VIII Plus,GGV CAPITAL VIII PLUS,,VIII,STRANDED
Oregon,GTCR Fund XII-AB,GTCR FUND XII-AB,,XII-AB,STRANDED
Oregon,GTCR Fund XIII-AB,GTCR FUND XIII-AB,,XIII-AB,STRANDED
Oregon,Harbourvest International PEP III - Partnership,HARBOURVEST INTERNATIONAL PEP III - PARTNERSHIP,,III,STRANDED
Oregon,HarbourVest Partners IV - Investment Program,HARBOURVEST PARTNERS IV - INVESTMENT PROGRAM,,IV,STRANDED
Oregon,HarbourVest Partners V - Investment Program,HARBOURVEST PARTNERS V - INVESTMENT PROGRAM,,V,STRANDED
Oregon,HarbourVest Partners VI - Partnership Fund,HARBOURVEST PARTNERS VI - PARTNERSHIP,FUND,VI,STRANDED
Oregon,KKR E2 Investors (Euro 2 Annex Fund),KKR E2 INVESTORS (EURO 2 ANNEX FUND),,2,STRANDED
Oregon,Oaktree European Principal Fund III (US),OAKTREE EUROPEAN PRINCIPAL FUND III (US),,III,STRANDED
Oregon,Oregon Investment Fund (Series 1-A),OREGON INVESTMENT FUND (SERIES 1-A),,1-A),STRANDED
Oregon,Pathway Private Equity Fund III-B,PATHWAY PRIVATE EQUITY FUND III-B,,III-B,STRANDED
Oregon,Pathway Private Equity Fund III-Co,PATHWAY PRIVATE EQUITY FUND III-CO,,III-CO,STRANDED
Oregon,TCW Special Credits Fund V - The Principal Fund,TCW SPECIAL CREDITS FUND V - THE PRINCIPAL,FUND,V,STRANDED
Oregon,"The Baring Asia Private Equity Fund VI, L.P. 1",THE BARING ASIA PRIVATE EQUITY FUND VI LP,1,VI,STRANDED
Oregon,Genstar VIII Opportunities Fund I,GENSTAR VIII OPPORTUNITIES FUND,I,VIII,CONSUMED+STRANDED
Oregon,Genstar X Opportunities Fund I,GENSTAR X OPPORTUNITIES FUND,I,X,CONSUMED+STRANDED
Oregon,TA XIV-A,TA XIV-A,,XIV-A,STRANDED
Oregon,AEP IV OPERS Co‐Investments,AEP IV OPERS CO‐INVESTMENTS,,IV,STRANDED
Oregon,Centerbridge Special Credit Partners III ‐ Flex,CENTERBRIDGE SPECIAL CREDIT PARTNERS III ‐ FLEX,,III,STRANDED
Oregon,Harbourvest International PEP III ‐ Partnership,HARBOURVEST INTERNATIONAL PEP III ‐ PARTNERSHIP,,III,STRANDED
Oregon,HarbourVest Partners IV ‐ Investment Program,HARBOURVEST PARTNERS IV ‐ INVESTMENT PROGRAM,,IV,STRANDED
Oregon,HarbourVest Partners V ‐ Investment Program,HARBOURVEST PARTNERS V ‐ INVESTMENT PROGRAM,,V,STRANDED
Oregon,HarbourVest Partners VI ‐ Partnership Fund,HARBOURVEST PARTNERS VI ‐ PARTNERSHIP,FUND,VI,STRANDED
Oregon,TCW Special Credits Fund V ‐ The Principal Fund,TCW SPECIAL CREDITS FUND V ‐ THE PRINCIPAL,FUND,V,STRANDED
Oregon,CVC Capital Partners Asia VI (A),CVC CAPITAL PARTNERS ASIA VI (A),,VI,STRANDED
Oregon,Genstar XI Opportunities Fund,GENSTAR XI OPPORTUNITIES,FUND,XI,STRANDED
Oregon,GGV Capital IX Plus,GGV CAPITAL IX PLUS,,IX,STRANDED
Oregon,GGV Discovery IV Asia,GGV DISCOVERY IV ASIA,,IV,STRANDED
Oregon,GGV Discovery IV US,GGV DISCOVERY IV US,,IV,STRANDED
Oregon,Pathway Private Equity Fund III-Co Series A,PATHWAY PRIVATE EQUITY FUND III-CO SERIES A,,III-CO,STRANDED
Oregon,Pathway Private Equity Fund III-Co Series B,PATHWAY PRIVATE EQUITY FUND III-CO SERIES B,,III-CO,STRANDED
Oregon,Pathway Private Equity Fund III-Co Series C,PATHWAY PRIVATE EQUITY FUND III-CO SERIES,C,III-CO,CONSUMED+STRANDED
Oregon,Pathway Private Equity Fund III-Co Series D,PATHWAY PRIVATE EQUITY FUND III-CO SERIES D,,III-CO,STRANDED
Oregon,Pathway Private Equity Fund III-Co Series E,PATHWAY PRIVATE EQUITY FUND III-CO SERIES E,,III-CO,STRANDED
Oregon,Pathway Private Equity Fund III-Co Series F,PATHWAY PRIVATE EQUITY FUND III-CO SERIES F,,III-CO,STRANDED
Oregon,AEP IV OPERF Co-Investments,AEP IV OPERF CO-INVESTMENTS,,IV,STRANDED
Oregon,Advent International GPE XI SCSp,ADVENT INTERNATIONAL GPE XI SCSP,,XI,STRANDED
Oregon,Pathway Private Equity Fund III-Co Series G,PATHWAY PRIVATE EQUITY FUND III-CO SERIES G,,III-CO,STRANDED
